Vin,Rload,Temp,Process Corner,Iin,Iout,Ibias,Vmax,Vmin,Vpeak,IL_Max,Il_Min,Eff
3.3,5.4,70,ss,0.1979765,0.334269,0.00209841,1.817316,1.803338,1.957908,0.7368067,-0.02483559,0.9138594223615364
3.3,5.7514792899408285,70,ss,0.1854683,0.313732,0.002084444,1.811205,1.803457,1.96788,0.7685699,-0.02514974,0.9146603099986287
3.3,6.151898734177216,70,ss,0.1728335,0.293267,0.002069809,1.808028,1.803507,1.977816,0.8104639,-0.02515829,0.9166923460460946
3.3,6.612244897959184,70,ss,0.160179,0.272838,0.002055004,1.806335,1.803684,1.985522,0.734531,-0.02490945,0.9193964406631647
3.3,7.147058823529412,70,ss,0.1475476,0.252423,0.002040151,1.805459,1.803774,1.992423,0.7037653,-0.04596631,0.9225188135815364
3.3,7.776,70,ss,0.1350299,0.232017,0.002024997,1.804946,1.803933,2.002668,0.790061,-0.02466762,0.9255233254524943
3.3,8.526315789473685,70,ss,0.1225743,0.211613,0.002009857,1.804954,1.804092,2.010073,0.7957409,-0.02484355,0.9286869527531172
3.3,9.436893203883495,70,ss,0.1102625,0.19121,0.001994588,1.804818,1.804236,2.017982,0.7434299,-0.03938367,0.931370613699067
3.3,10.565217391304348,70,ss,0.09804989,0.170806,0.001979281,1.804812,1.804401,2.025214,0.735581,-0.1009093,0.9337789356138859
3.3,12.0,70,ss,0.08596436,0.150403,0.001964072,1.804977,1.804667,2.032619,0.7767911,-0.1523448,0.9355154742211258
3.3,13.885714285714283,70,ss,0.07397036,0.129994,0.001948725,1.805205,1.804925,2.039956,0.7262988,-0.2548412,0.9365909021074826
3.3,16.47457627118644,70,ss,0.06209431,0.109582,0.001933399,1.805492,1.805155,2.046001,0.7354474,-0.3205689,0.936290886333158
3.3,20.249999999999996,70,ss,0.05032758,0.0891664,0.001917893,1.80581,1.805462,2.055567,0.7888227,-0.4454513,0.9338236913843583
3.3,26.270270270270256,70,ss,0.03870374,0.0687463,0.001902555,1.806125,1.805799,2.063003,0.7349796,-0.5173671,0.9265223359622191
3.3,37.38461538461534,70,ss,0.02717456,0.0483185,0.001886889,1.806612,1.80612,2.071622,0.7439508,-0.5803119,0.9100989218298529
3.3,64.8,70,ss,0.01572821,0.0278839,0.001861588,1.807037,1.806677,2.079323,0.7542582,-0.6617346,0.8679750609847823
